Name,Age,GPA,Credits_Completed,Year,Pathway
Mac German,16,2.39,4,Freshman,Business
Bob Williams,19,2.34,9,Freshman,Business
Joe Fraker,17,2.85,31,Freshman,Construction
Isabelle Moore,18,3.19,51,Senior,Early College
Tom Garcia,14,2.21,42,Freshman,Early Childhood Education
Ben Fraker,17,1.89,33,Junior,Engineering
Hayden Johnson,15,0.4,50,Sophmore,Bio Med
Ian King,19,2.84,47,Sophmore,Bio Med
Mac King,19,2.36,11,Junior,Engineering
Josh German,14,4.3,2,Super Senior,Construction
Daniel Moore,19,2.6,44,Senior,Culinary
Bob Brown,14,1.87,0,Super Senior,Engineering
Hayden Foster,19,0.89,35,Super Senior,Marketing
Marie Miller,18,0.85,33,Junior,Engineering
Lily Miller,19,0.53,39,Freshman,Computer Science
Mac Brown,14,4.43,7,Junior,Early College
Sarah White,17,3.71,40,Sophmore,Construction
Ian Jones,17,3.36,50,Freshman,Early Childhood Education
Ben Davis,15,3.72,52,Super Senior,Construction
Hayden Davis,15,1.52,25,Freshman,Marketing
Sophie Garcia,14,1.47,12,Freshman,Computer Science
Ian King,18,0.78,43,Senior,Engineering
Tom Garcia,14,3.22,7,Super Senior,Fine Arts
Mac Foster,19,0.82,21,Junior,Business
Isabelle Brown,18,2.55,10,Senior,Business
Isabelle Johnson,17,3.65,52,Super Senior,Culinary
Hayden Davis,17,2.08,23,Super Senior,Business
Alex Smith,15,1.86,53,Senior,Computer Science
Alex German,19,1.53,40,Super Senior,Culinary
Emma Miller,15,4.34,5,Super Senior,Engineering
Alex Johnson,16,4.0,59,Super Senior,Early College
Ian Johnson,17,3.01,29,Super Senior,Engineering
Joe King,16,1.71,3,Sophmore,Early Childhood Education
Sarah Williams,14,2.13,16,Freshman,Business
Ian Fraker,16,2.82,40,Super Senior,Construction
Sarah German,15,3.09,42,Senior,Construction
Lily Foster,16,3.3,34,Junior,Bio Med
Josh King,17,3.5,4,Super Senior,Bio Med
Emma Garcia,16,4.21,22,Senior,Culinary
Emma Scott,15,3.43,12,Sophmore,Early Childhood Education
Emma Brown,16,3.79,7,Freshman,Business
Lily Davis,19,3.12,31,Sophmore,Marketing
Sophie White,14,2.4,8,Sophmore,Construction
Sophie Williams,14,3.34,57,Freshman,Bio Med
Ian King,17,4.38,39,Super Senior,Bio Med
Sophie White,18,1.55,17,Freshman,Culinary
Joe Garcia,14,0.46,13,Super Senior,Early Childhood Education
Rachel Smith,16,1.33,20,Junior,Construction
Hayden Foster,14,4.44,14,Senior,Bio Med
Daniel Anderson,19,1.63,48,Super Senior,Business
Bob King,15,0.42,25,Junior,Computer Science
Ian Foster,15,1.91,52,Freshman,Computer Science
Tom Fraker,15,1.26,1,Freshman,Marketing
Mac Scott,15,3.95,33,Freshman,Early College
Marie Anderson,18,3.87,7,Freshman,Construction
Rachel Anderson,18,1.75,10,Super Senior,Culinary
Ben Johnson,14,2.17,60,Super Senior,Construction
Sophie Moore,19,2.05,33,Sophmore,Bio Med
Hayden Jones,15,4.09,32,Sophmore,Computer Science
Emma Scott,16,3.38,10,Senior,Construction
Marie Smith,16,0.51,0,Sophmore,Marketing
Lily Foster,14,1.39,34,Senior,Early Childhood Education
Joe Miller,19,4.01,25,Junior,Business
Rachel Garcia,19,3.27,0,Super Senior,Construction
Sophie Jones,14,1.89,39,Junior,Computer Science
Hayden Scott,16,2.83,22,Sophmore,Bio Med
Alex Brown,14,2.51,58,Sophmore,Engineering
Hayden King,15,3.26,44,Freshman,Engineering
Emma Brown,19,2.25,36,Super Senior,Construction
Joe Jones,18,1.78,8,Super Senior,Fine Arts
Emma Garcia,17,3.97,49,Junior,Bio Med
Joe Davis,18,1.53,2,Senior,Computer Science
Tom Scott,16,0.51,33,Junior,Culinary
Alex Miller,14,2.49,3,Super Senior,Marketing
